Designator,Mid X,Mid Y,Rotation,Layer
BT1:,178.654762,-97.7,180.0,top
BT2:,152.75,-97.7,180.0,top
BUTTON1,211.22,-106.97,270.0,bottom
BUTTON2,127.71,-106.92,270.0,bottom
C1,193.3625,-134.63,180.0,top
C2,183.2,-148.5,270.0,top
C3,187.8,-148.5,90.0,top
C4,183.1,-141.6,270.0,top
D1,201.8,-134.11,90.0,top
D2,181.7,-122.9,0.0,top
D3,178.7,-124.8375,270.0,top
F1,200.0,-140.31,0.0,top
HDR1,202.6,-112.97,0.0,bottom
LDR1,197.1875,-92.0,0.0,bottom
LED1,147.713566,-139.504559,20.0,bottom
LED2,129.5,-123.85,0.0,bottom
LED3,131.4,-92.0,315.0,bottom
LED4,138.365507,-64.601041,315.0,bottom
LED5,188.0,-63.7,45.0,bottom
LED6,210.6,-95.8,315.0,bottom
LED7,208.398959,-128.065507,45.0,bottom
LED8,180.4,-141.6,340.0,bottom
LS1,150.9,-88.55,0.0,bottom
Q1,151.45,-130.9,90.0,top
R1,132.8,-129.2,270.0,top
R2,137.0,-129.2,90.0,top
R3,207.3,-131.85,270.0,top
R4,207.3,-143.9,90.0,top
R5,197.0875,-97.1,0.0,top
R6,154.35,-143.1,0.0,top
R7,189.3,-142.5,180.0,top
R8,153.2,-136.85,270.0,top
R9,149.8,-136.85,90.0,top
U1,189.5,-128.1,90.0,top
U2,170.25,-139.2,180.0,top
USB1,212.3,-137.9,90.0,top
